"Order canceled","Order canceled"
"The requested order can't be retrieved.","The requested order can't be retrieved."
"Esto payment flow URL can't be retrieved.","Esto payment flow URL can't be retrieved."
"Wrong response from the payment gateway. Try again, please, or contact support.","Wrong response from the payment gateway. Try again, please, or contact support."
"Wrong MAC value. Try again, please, or contact support.","Wrong MAC value. Try again, please, or contact support."
"An error occurred on the payment gateway side while processing your request. Try again, please, or contact support.","An error occurred on the payment gateway side while processing your request. Try again, please, or contact support."
"Your order #%1 has been canceled.","Your order #%1 has been canceled."
"You will be redirected to the main page in 5 seconds.","You will be redirected to the main page in 5 seconds."
"Place Order","Place Order"
Estonia,Estonia
Latvia,Latvia
Lithuania,Lithuania
Finland,Finland
"Pay conveniently and quickly in installments - 0€ contract fee!","Pay conveniently and quickly in installments - 0€ contract fee!"
Enabled,Enabled
Title,Title
Description,Description
Logo,Logo
"Logo image that will be displayed on checkout page.<br />(jpeg, gif, png)","Logo image that will be displayed on checkout page.<br />(jpeg, gif, png)"
"New Order Status","New Order Status"
"Minimum Order Total","Minimum Order Total"
"The payment method is available only if an order grand total is greater than this amount.","The payment method is available only if an order grand total is greater than this amount."
"Maximum Order Total","Maximum Order Total"
"The payment method is available only if an order grand total is less than this amount.","The payment method is available only if an order grand total is less than this amount."
Mode,Mode
"API endpoint","API endpoint"
"Shop ID","Shop ID"
"Secret API Key","Secret API Key"
"Send invoice automatically","Send invoice automatically"
"This allows you to choose if invoices are sent automatically or manually after payment is completed","This allows you to choose if invoices are sent automatically or manually after payment is completed"
"Enable ""Monthly Payment"" Block","Enable ""Monthly Payment"" Block"
"This will enable ""Monthly Payment"" block on product pages.","This will enable ""Monthly Payment"" block on product pages."
"""Monthly Payment"" Block Url","""Monthly Payment"" Block Url"
"Url that will be used in ""Monthly Payment"" block.","Url that will be used in ""Monthly Payment"" block."
"""Monthly Payment"" Block Title","""Monthly Payment"" Block Title"
"To insert minimum monthly payment amount use %summa% placeholder in the title.","To insert minimum monthly payment amount use %summa% placeholder in the title."
"""Monthly Payment"" Block Logo","""Monthly Payment"" Block Logo"
"Use Debug Logs","Use Debug Logs"
"Sort Order","Sort Order"
"Enable Terms/Conditions checkbox","Enable Terms/Conditions checkbox"
"Text for Terms/Conditions checkbox","Text for Terms/Conditions checkbox"
"Popup text for Terms/Conditions","Popup text for Terms/Conditions"
"Esto X Settings","Esto X Settings"
"Enable Esto X","Enable Esto X"
"Title Esto X","Title Esto X"
"Description Esto X","Description Esto X"
"Logo Esto X","Logo Esto X"
"Esto Pay Later Settings","Esto Pay Later Settings"
"Enable Esto Pay Later","Enable Esto Pay Later"
"Title Esto Pay Later","Title Esto Pay Later"
"Description Esto Pay Later","Description Esto Pay Later"
"Logo Esto Pay Later","Logo Esto Pay Later"
"Esto Pay Settings","Esto Pay Settings"
"Enable Esto Pay","Enable Esto Pay"
"Title Esto Pay","Title Esto Pay"
"Description Esto Pay","Description Esto Pay"
"Logo Esto Pay","Logo Esto Pay"
"Show banklinks block","Show banklinks block"
"Confirm the order now, and ESTO will give you 30 additional days for payment. Receive the service and pay at your discretion within the next 30 days without any additional charges! No interest. No additional charges. The payment method is provided and managed by ESTO AS.","Confirm the order now, and ESTO will give you 30 additional days for payment. Receive the service and pay at your discretion within the next 30 days without any additional charges! No interest. No additional charges. The payment method is provided and managed by ESTO AS."
