"Order canceled","Teie tellimus tühistati"
"The requested order can't be retrieved.","Soovitud tellimust ei leitud."
"Esto payment flow URL can't be retrieved.","Esto järelmakse aadress ei ole kättesaadav."
"Wrong response from the payment gateway. Try again, please, or contact support.","Vigane vastus serverist. Proovige uuesti, või võtke ühendust klienditoega."
"Wrong MAC value. Try again, please, or contact support.","Vale MAC väärtus. Proovige uuesti, või võtke ühendust klienditoega."
"An error occurred on the payment gateway side while processing your request. Try again, please, or contact support.","Esines viga veebipoe ja Esto serveri vahelisel ühendusel. Proovige uuesti, või võtke ühendust klienditoega."
"Your order #%1 has been canceled.","Teie tellimus numbriga #%1 on tühistatud."
"You will be redirected to the main page in 5 seconds.","Teid suunatakse avalehele 5 sekundi jooksul."
"Place Order","Esita tellimus"
"Pay Later is an alternative ESTO payment method. For more information and activation please contact ESTO Partner Support.","Maksa Hiljem on ESTO alternatiivne maksemeetod. Lisainformatsiooni saamiseks võta ühendust ESTO partnertoega."
"Confirm the order now, and ESTO will give you 30 additional days for payment. Receive the service and pay at your discretion within the next 30 days without any additional charges! No interest. No additional charges. The payment method is provided and managed by ESTO AS.","Kinnita tellimus kohe ja ESTO annab sulle 30 päeva lisaaega maksmiseks. Saa tellimus kätte ning maksa vastavalt enda soovile järgneva 30 päeva jooksul ilma ühegi lisanduva kuluta! Puudub intress. Puuduvad lisakulud. Makseviisi pakub ja haldab ESTO AS."
"Buy now, but pay later!","Osta nüüd ja maksa hiljem!"
"Payment module for paying with ESTO regular hire purchase","Maksemoodul ESTO järelmaksuga maksmiseks"
"Pay conveniently and quickly in installments - 0€ contract fee!","Tasu mugavalt ja kiirelt osade kaupa - 0€ lepingutasu!"
"Confirm a purchase in 60 seconds and pay in installments, conveniently and quickly. Just pay later!","ESTO järelmaksuga tellimuste edukas sooritamine on sama kiire ja mugav nagu pangalingiga maksmine. Kinnita tellimus ja personaalsete tingimuste nägemiseks ning ostu edukaks sooritamiseks digiallkirjasta järelmaksuleping ID-kaardi, Smart-ID või Mobiil-ID abil."
"ESTO X is an alternative ESTO payment method. For more information and activation please contact ESTO Partner Support.","ESTO X on ESTO alternatiivne maksemeetod. Lisainformatsiooni saamiseks võta ühendust ESTO partnertoega."
"ESTO 3 - pay without additional cost within 3 months! Just pay later.","ESTO 3 - maksa ilma lisatasudeta kolme kuu jooksul! Lihtsalt maksa hiljem."
"Pay in 3 equal parts. At no extra charge. 0% interest rate. Just pay later!","Tasu 3-s võrdses osas, ilma ühegi lisatasuta! 0% intress. 0€ lisakulu. Lihtsalt maksa hiljem!"
"ESTO 3 payment method allows you to pay for your purchase in three equal instalments over a period of three months. The sum of each monthly instalment is calculated by dividing the value of the shopping cart into three equal parts. No interest. No additional charges. Early repayment option always available, no additional charges apply. The payment method is provided and managed by ESTO AS.","ESTO 3-osaline makseviis võimaldab tasuda kolme kuu jooksul, kolme võrdse maksena, ilma ühegi lisakuluta. Igakuine kuumakse kujuneb ostukorvi maksumuse jagamisel kolmeks võrdseks osaks. Esimene kuumakse alati järgmise kuu 15. kuupäeval. Puudub intress. Puuduvad lisakulud. Alati on võimalus tasuda ennetähtaegselt ilma ühegi kuluta. Makseviisi pakub ja haldab ESTO AS."
"ESTO Pay bank payments are a direct payment method for all Baltic and Finnish banklinks. Contact ESTO Partner Support for additional information and activation.","ESTO Pay pangamaksed on maksemeetod, millega saab maksta kõikide Baltikumi ja Soome pankadega. Lisainformatsiooni saamiseks ja aktiveerimiseks võta ühendust ESTO partnertoega."
"Pay in the bank","Maksa pangas"
"Payment is made using a secure payment solution called “Klix by Citadele” (AS “Citadele banka”).","Maksmisel kasutatakse turvalist makselahendust nimega Klix by Citadele (AS Citadele banka Eesti filiaal)."
"ESTO Pay card payments are Visa and Mastercard credit/debit card payments. Contact ESTO Partner Support for additional information and activation.","ESTO Pay kaardimaksed on Visa ja Mastercard krediit-/deebetkaardi maksed. Lisainformatsiooni saamiseks ja aktiveerimiseks võta ühendust ESTO partnertoega."
"Pay by card (Visa/Mastercard)","Maksa kaardiga (Visa/Mastercard)"
"Your payment will be made using a secure payment solution.","Makse sooritamisel kasutatakse turvalist maksesüsteemi."
Enabled,Aktiveeri
Title,Tiitel
Logo,Logo
"Logo image that will be displayed on checkout page.<br />(jpeg, gif, png)","Logo kuvatakse ostu vormistamise lehel.<br />(jpeg, gif, png)"
"New Order Status","Uus tellimuse staatus."
"Minimum Order Total","Minimaalne tellimuse summa."
"The payment method is available only if an order grand total is greater than this amount.","Maksemeetod on saadaval juhul, kui tellimuse kogusumma on antud väärtusest suurem."
"Maximum Order Total","Maksimaalne tellimuse summa."
"The payment method is available only if an order grand total is less than this amount.","Maksemeetod on saadaval juhul, kui tellimuse kogusumma on antud väärtusest väiksem."
Mode,Mode
"Shop ID","Poe ID"
"Secret API Key","Secret API Key"
"Enable ""Monthly Payment"" Block","Aktiveeri ""Järelmakse"" Blokk"
"This will enable ""Monthly Payment"" block on product pages.","Valik aktiveerib ""Järelmakse"" bloki tootelehel."
"""Monthly Payment"" Block Url","""Monthly Payment"" Block Url"
"Url that will be used in ""Monthly Payment"" block.","Antud aadressi kasutatakse ""Järelmakse"" bloki kuvamisel."
"""Monthly Payment"" Block Title","""Järelmakse"" bloki Nimetus"
"To insert minimum monthly payment amount use %summa% placeholder in the title.","Sisestage minimaalne %summa% mida kasutada nimetuses."
"""Monthly Payment"" Block Logo","""Järelmakse"" bloki Logo"
"Use Debug Logs","Aktiveeri logid"
"Sort Order","Sorteerimise järjekord"
Estonia,Eesti
Latvia,Läti
Lithuania,Leedu
Finland,Soome
"3 interest-free payments over 3 months","3 intressivaba makset 3 kuu jooksul"
"January","Jaanuar"
"February","Veebruar"
"March","Märts"
"April","Aprill"
"May","Mai"
"June","Juuni"
"July","Juuli"
"August","August"
"September","September"
"October","Oktoober"
"November","November"
"December","Detsember"
