"Pay Later is an alternative ESTO payment method. For more information and activation please contact ESTO Partner Support.","“Maksājiet vēlāk” ir alternatīva ESTO maksājuma metode. Lai iegūtu papildus informāciju un aktivizētu, lūdzu, sazinieties ar ESTO partneru atbalstu."
"Confirm the order now, and ESTO will give you 30 additional days for payment. Receive the service and pay at your discretion within the next 30 days without any additional charges! No interest. No additional charges. The payment method is provided and managed by ESTO AS.","Apstiprini pasūtījumu tagad, un ESTO dos Tev 30 papildus dienas apmaksai. Saņem savu pirkumu un maksājumu veic pēc saviem ieskatiem nākamo 30 dienu laikā bez papildu maksas! Bez procentiem. Bez papildu izmaksām. Maksājuma metodi nodrošina un pārvalda ESTO LV AS."
"Buy now, but pay later!","Pērc tagad un maksā vēlāk!"
"Payment module for paying with ESTO regular hire purchase","Maksājuma modulis ESTO Līzinga norēķiniem"
"Pay conveniently and quickly in installments - 0€ contract fee!","ESTO nomaksa - Maksā ērti un ātri pa daļām - līdz 60 mēnešiem!"
"Confirm a purchase in 60 seconds and pay in installments, conveniently and quickly. Just pay later!","Norēķināšanās ar ESTO nomaksu ir tikpat ātra un ērta, kā maksājot ar bankas starpniecību. Apstiprini pasūtījumu un, lai iepazītos ar piedāvājuma noteikumiem un nosacījumiem un veiktu veiksmīgu pirkumu, paraksti pirkuma nomaksas līgumu digitāli, izmantojot savu internetbanku, Smart-ID vai eParaksts."
"ESTO X is an alternative ESTO payment method. For more information and activation please contact ESTO Partner Support.","ESTO X ir alternatīva ESTO maksāšanas metode. Lai iegūtu papildus informāciju un aktivizētu, lūdzu, sazinieties ar ESTO partneru atbalstu."
"ESTO 3 - pay without additional cost within 3 months! Just pay later.","ESTO 3 - norēķinieties bez papildus maksas 3 mēnešu laikā! Vienkārši maksā vēlāk."
"Pay in 3 equal parts. At no extra charge. 0% interest rate. Just pay later!","ESTO 3 - Maksā 3 vienādās daļās. Bez papildu maksas un procentiem. Vienkārši maksā vēlāk!"
"ESTO 3 payment method allows you to pay for your purchase in three equal instalments over a period of three months. The sum of each monthly instalment is calculated by dividing the value of the shopping cart into three equal parts. No interest. No additional charges. Early repayment option always available, no additional charges apply. The payment method is provided and managed by ESTO AS.","ESTO 3 maksāšanas metode ļauj samaksāt par pirkumu trīs vienādās daļās, trīs mēnešu laikā. Katra mēneša maksājuma summa tiek aprēķināta dalot pirkuma groza vērtību trīs vienādās daļās. Bez procentiem. Nav papildu maksas. Vienmēr pieejama pirmstermiņa atmaksas iespēja, papildu maksa netiek piemērota. Maksājuma metodi nodrošina un pārvalda ESTO LV AS."
"ESTO Pay bank payments are a direct payment method for all Baltic and Finnish banklinks. Contact ESTO Partner Support for additional information and activation.","ESTO Pay ir tiešā maksājumu metode maksājumu kartēm, banku saitēm. Papildus informāciju vaicājiet ESTO apkalpošanas daļai."
"Pay in the bank","Maksājiet ar savu internetbanku"
"Payment is made using a secure payment solution called “Klix by Citadele” (AS “Citadele banka”).","Maksājums tiek veikts, izmantojot drošu maksājumu risinājumu “Klix by Citadele” (AS “Citadele banka”)."
"ESTO Pay card payments are Visa and Mastercard credit/debit card payments. Contact ESTO Partner Support for additional information and activation.","ESTO Pay apmokėjimas kortele apima „Visa“ ir „Mastercard“ kredito / debeto korteles. Dėl papildomos informacijos ir aktyvavimo susisiekite su ESTO partnerių palaikymo komanda."
"Pay by card (Visa/Mastercard)","Maksā ar karti (Visa/Mastercard)"
"Your payment will be made using a secure payment solution.","Maksājums tiek veikts, izmantojot drošu maksājumu risinājumu."
"3 interest-free payments over 3 months","3 bezprocentu maksājumi 3 mēnešu laikā"
"January","Janvāris"
"February","Februāris"
"March","Marts"
"April","Aprīlis"
"May","Maijs"
"June","Jūnijs"
"July","Jūlijs"
"August","Augusts"
"September","Septembris"
"October","Oktobris"
"November","Novembris"
"December","Decembris"
